Phrase 1,Phrase 2,Cosine Similarity,Euclidean Similarity
how company compares to its peers?,what is the detailed income statement breakdown of Axa?,0.514884442978171,0.5037775472868279
how company compares to its peers?,world premium penetration in 2020,0.36933816579992085,0.4710123257259987
how company compares to its peers?,How does the forecasted insurance premium penetration in country trend compare to its peers?,0.5964462516573829,0.5267617058934824
how company compares to its peers?,what are the total losses for companies in country  non life market?,0.5176306962966919,0.504487147470577
how company compares to its peers?,Insurance premiums market in Country,0.25299619120382166,0.44998506059177223
how company compares to its peers?,"How have the profit margins been for the airlines industry through the years, by regions?",0.502705723208531,0.5006782660263924
how company compares to its peers?,What is the complete profile of the top oil rigs?,0.4372194539671975,0.4852190983156286
how company compares to its peers?,what is company general information?,0.5840620646439763,0.5229927594007728
how company compares to its peers?,How is the airline industry performing globally?,0.5529608396911131,0.5139915761857169
how company compares to its peers?,how does economic profit for in country compare to others?,0.668399453163147,0.5511550157647294
how company compares to its peers?,most profitable insurance company India,0.43788606298649013,0.48536713730983067
how company compares to its peers?,Give me a detailed breakup of the income and expenses in South-East Asia,0.38851488301069304,0.4748608876752925
how company compares to its peers?,Show me all the oil rigs in the world,0.3911987841129303,0.47540937896358293
how company compares to its peers?,What were the premiums earned by the Indian insurance industry in 2020?,0.42469002082020124,0.48246958671894535
how company compares to its peers?,How much have premiums grown as compared to claims for India?,0.5149890184402466,0.5038044902194511
how company compares to its peers?,Which are the best performing insurance firms in India?,0.41132158041000366,0.47960234082492825
how company compares to its peers?,What is the ROE of the Indian market?,0.4186907112598419,0.4811745498220764
how company compares to its peers?,What profits were clocked by Cholamandalam in 2020?,0.4101114326649058,0.4793460703213946
how company compares to its peers?,What is the premiums market share of the top 5 companies in India?,0.5512774854137021,0.5135221210648396
how company compares to its peers?,How will the Brazilian insurance market perform in case of a sluggish economic scenario?,0.4518826901912689,0.488516871158588
how company compares to its peers?,Which are the main distribution channels in India?,0.3551909923553467,0.46824953457538854
how company compares to its peers?,What are the risks in the motor insurance segment in India?,0.4363493751391584,0.4850261908458231
how company compares to its peers?,What is the demand potential of India for insurance?,0.4330802261829376,0.4843039282238315
how company compares to its peers?,How do premiums break down by lines of business in India?,0.4281993167519169,0.48323350802905596
how company compares to its peers?,What is the share price of Qantas?,0.5338268280029297,0.508755457406266
how company compares to its peers?,How many passengers are carried in ?,0.3947533667087555,0.4761396568285415
how company compares to its peers?,Which are the aircrafts manufactured by Boeing?,0.2856999167382772,0.4555309301166391
how company compares to its peers?,Kdo je nejv?tí konkurent ?eské Poji?ovny?,0.0885312557220459,0.42550257707642686
how company compares to its peers?,Which are the top airports?,0.2660888731479645,0.45217418677882015
how company compares to its peers?,How many fatal air accidents till date?,0.2638563969049694,0.4517980236507848
how company compares to its peers?,What is the flow of air traffic in North America?,0.3861975737692378,0.474389301973278
how company compares to its peers?,What is the fleet of Airbus?,0.43340489665240745,0.48437546193643755
how company compares to its peers?,Airlines profitability Brazil?,0.24265234172344208,0.44828383009713824
